Feature Extraction Technique,Silhouette Score,Computation Time (seconds)
mfccs,0.3544574821620169,2.565751552581787
cqccs,0.3544574821620169,2.4726033210754395
mfccs_mean,0.1356643707664355,0.2088162899017334
cqccs_mean,0.5622854069126514,0.19692659378051758
mfccs_mean_std,0.10489572560720005,0.19240808486938477
cqccs_mean_std,0.6032854358983435,0.20234942436218262
mfccs_mean_std_avg,0.1062672304455139,0.20767545700073242
cqccs_mean_std_avg,0.5918918164081041,0.21081185340881348
cqcc_mfccs_fusion,0.0997045356399895,0.21616911888122559
unispeechsat_embedding,0.2790793478488922,0.3128933906555176
wlxvector_embedding,0.2266036719083786,0.3215291500091553
